image	contrast	colorfulness	spatial_freq	texture	spiky_stubby	curvature	size	contrast_proc	colorfulness_proc	spatial_freq_proc	texture_proc	spiky_stubby_proc	curvature_proc	size_proc
acorn_01b	44.59471130371094	52.654052446423975	190.57917649111081	34.692440022599634	2.72305713799847	56.16	148.3260869565217	0.2339602405485119	0.6688244532117823	0.34871873443903934	0.38874631324932013	0.12437277358562837	0.8888995288619911	0.04920136361895277
acorn_02n	54.8382682800293	61.63518875521652	553.0868179911415	61.3749910353811	28.892271179444844	58.599999999999994	148.3260869565217	0.4963419772474815	0.7720917761519899	0.6244685333435477	0.7280422875090972	0.9878959665989965	0.9219366453441605	0.04920136361895277
acorn_03s	38.77989196777344	50.04026251434498	58.4920412806013	19.788660661348207	4.545055812118539	44.86666666666667	148.3260869565217	0.13379553376489065	0.6345424598766615	0.12900754586892405	0.13042479028613016	0.9112115524571954	0.6490213352740645	0.04920136361895277
acorn_04s	48.302734375	36.47645741581222	102.84631098665889	34.165773649107415	3.160230631329038	60.32413793103447	148.3260869565217	0.31719462213199523	0.4158654766920749	0.21760447389589	0.3805492779714253	0.872562914160953	0.9429654881832459	0.04920136361895277
acorn_05s	51.773433685302734	50.64553188518131	47.67741811206611	23.301810887197284	26.358127370962197	59.562962962962956	148.3260869565217	0.4088175585092121	0.643199141992569	0.10342053855287854	0.1865400084268587	0.9861722909564484	0.9341747424062512	0.04920136361895277
acorn_06s	46.47486877441406	59.16981354862115	30.290892706597003	14.085207590802462	4.838790877796905	48.93333333333334	148.3260869565217	0.27433255448730226	0.7459685141915962	0.0591029225878117	0.05102079901942008	0.9172252652545294	0.7529398245681235	0.04920136361895277
acorn_07s	54.641605377197266	43.55888760061588	240.86198827069458	37.53512124863809	1.5395137429784314	49.01379310344827	148.3260869565217	0.4909411269008312	0.5385145746351553	0.4067108438349868	0.4359367219519669	0.04381966522388631	0.7547209560654231	0.04920136361895277
acorn_08s	39.65652847290039	38.94292269918673	98.31928358740996	29.48459821769271	5.075435830442813	63.29230769230769	148.3260869565217	0.146359214003907	0.460298004366645	0.20852644884513732	0.29754471980694835	0.9211705672808059	0.9708890335925231	0.04920136361895277
acorn_09s	48.56361770629883	36.9502019864519	85.10654714641743	30.90438539332359	2.9633748852554977	52.13571428571428	148.3260869565217	0.3235913739610066	0.42341134561611826	0.18343739227027234	0.32385950128318075	0.5000191519515839	0.8181713716627724	0.04920136361895277
acorn_10s	60.69755172729492	51.29267460813924	468.7313983628278	55.61365460700393	2.222609085013741	62.023076923076914	148.3260869565217	0.6580227525184816	0.6510514421419543	0.5822959359558739	0.6756425479756387	0.09457233692113226	0.9603937641245643	0.04920136361895277
acorn_11s	68.5772705078125	62.485657314585744	188.63182605830204	30.136749986995497	1.87704367542722	54.70714285714285	148.3260869565217	0.8365572451832842	0.7810165855900716	0.34603746121729806	0.3096870571111196	0.07105374037614433	0.8668173286857931	0.04920136361895277
acorn_12s	51.265541076660156	28.277626192217078	108.85135632624963	34.851446737189825	2.5984304352156165	50.839999999999996	148.3260869565217	0.3954494963036733	0.27011912513885167	0.22840617458919063	0.39158080208373236	0.1175163749186042	0.793427050216417	0.04920136361895277
airbag_01b	83.36982727050781	35.835086739785204	284.7042295879803	33.95696599753677	1.9730391978387674	42.98461538461538	262.8513513513514	0.9805416171907917	0.4032251886467231	0.45210096908875014	0.37721683839583253	0.07825487417167809	0.5969854828206994	0.7468303520128701
airbag_02s	70.36830139160156	16.226034013587515	992.034443277924	46.147181225639635	1.1664530266683761	43.39310344827586	262.8513513513514	0.8659363389129352	0.09491707204964187	0.7619029379093729	0.5641398858543686	0.012142337304171295	0.6080361588845904	0.7468303520128701
airbag_03s	68.51866912841797	12.886009138586719	1826.2808542789874	50.87837939770079	2.9633748852554977	45.78518518518518	262.8513513513514	0.835293216378749	0.0591029225878117	0.8742482859003332	0.6231662006358448	0.5000191519515839	0.6734400735434941	0.7468303520128701
airbag_04s	65.21900177001953	27.06481413416753	69.00359517964847	34.01410970922681	1.2401887388848685	66.21538461538461	262.8513513513514	0.7691040717049067	0.24889876278392767	0.15130041751254453	0.3787106906193741	0.01769640326349255	0.9871298885356418	0.7468303520128701
